Lake,Form,Year,Day,Count,Temp
Bride,A,2014,120,1,13.2
Bride,A,2014,124,1,13.9
Bride,A,2014,126,1,14.2
Bride,A,2014,128,2,14.5
Bride,A,2014,131,1,15.3
Bride,A,2014,132,3,15.6
Bride,A,2014,133,4,15.9
Bride,A,2014,134,3,16.2
Bride,A,2014,136,5,16.9
Bride,A,2014,137,3,17.2
Bride,A,2014,138,11,17.5
Bride,A,2014,139,7,17.8
Bride,A,2014,140,11,18.1
Bride,A,2014,141,9,18.4
Bride,A,2014,142,9,18.6
Bride,A,2014,143,7,18.7
Bride,A,2014,144,5,18.9
Bride,A,2014,145,3,19.1
Bride,A,2014,147,3,19.4
Bride,A,2014,148,4,19.5
Bride,A,2014,149,2,19.7
Bride,A,2014,150,1,19.9
Bride,A,2014,151,4,20
Bride,A,2014,153,2,20.4
Bride,A,2014,154,1,20.5
Bride,A,2015,124,1,15.2
Bride,A,2015,127,1,16.5
Bride,A,2015,130,1,17.8
Bride,A,2015,131,6,18.2
Bride,A,2015,133,5,19.1
Bride,A,2015,134,1,19.5
Bride,A,2015,136,4,19.8
Bride,A,2015,137,4,19.9
Bride,A,2015,138,5,20
Bride,A,2015,139,3,20.1
Bride,A,2015,140,5,20.2
Bride,A,2015,141,7,20.3
Bride,A,2015,142,9,20.4
Bride,A,2015,143,6,20.5
Bride,A,2015,144,5,20.6
Bride,A,2015,145,9,20.7
Bride,A,2015,146,7,20.8
Bride,A,2015,147,5,20.9
Bride,A,2015,148,7,20.9
Bride,A,2015,149,4,21
Bride,A,2015,150,1,21
Bride,A,2015,151,1,21
Bride,A,2015,153,2,21
Bride,A,2015,161,1,21
Dodge,A,2014,116,1,13.1
Dodge,A,2014,119,1,13.4
Dodge,A,2014,122,1,13.8
Dodge,A,2014,123,2,13.9
Dodge,A,2014,124,1,14.1
Dodge,A,2014,125,1,14.2
Dodge,A,2014,126,3,14.3
Dodge,A,2014,129,1,14.7
Dodge,A,2014,130,7,15.1
Dodge,A,2014,131,1,15.4
Dodge,A,2014,132,3,15.8
Dodge,A,2014,133,4,16.1
Dodge,A,2014,135,9,16.9
Dodge,A,2014,136,5,17.2
Dodge,A,2014,137,7,17.6
Dodge,A,2014,138,4,17.9
Dodge,A,2014,139,10,18.3
Dodge,A,2014,140,7,18.6
Dodge,A,2014,141,6,19
Dodge,A,2014,142,4,19
Dodge,A,2014,143,7,19
Dodge,A,2014,144,3,19
Dodge,A,2014,145,1,19.1
Dodge,A,2014,146,3,19.1
Dodge,A,2014,147,3,19.1
Dodge,A,2014,149,1,19.1
Dodge,A,2014,152,2,19.1
Dodge,A,2014,153,1,19.1
Dodge,A,2014,174,1,24.2
Dodge,A,2015,118,1,12.5
Dodge,A,2015,119,1,13
Dodge,A,2015,122,2,14.3
Dodge,A,2015,125,2,15.6
Dodge,A,2015,127,1,16.5
Dodge,A,2015,128,2,16.9
Dodge,A,2015,129,5,17.4
Dodge,A,2015,130,5,17.8
Dodge,A,2015,131,4,18.2
Dodge,A,2015,132,1,18.7
Dodge,A,2015,133,2,19.1
Dodge,A,2015,134,1,19.6
Dodge,A,2015,135,7,19.7
Dodge,A,2015,136,5,19.8
Dodge,A,2015,137,7,19.9
Dodge,A,2015,138,9,20.1
Dodge,A,2015,139,7,20.2
Dodge,A,2015,140,8,20.3
Dodge,A,2015,141,9,20.4
Dodge,A,2015,142,3,20.6
Dodge,A,2015,144,3,20.8
Dodge,A,2015,145,4,20.9
Dodge,A,2015,146,2,21.1
Dodge,A,2015,147,2,21.2
Dodge,A,2015,148,2,21.2
Dodge,A,2015,150,1,21.2
Dodge,A,2015,151,3,21.2
Pattagansett,L,2014,131,1,15.7
Pattagansett,L,2014,132,1,16.1
Pattagansett,L,2014,135,2,17.2
Pattagansett,L,2014,139,1,18.7
Pattagansett,L,2014,145,1,20
Pattagansett,L,2014,148,1,20.5
Pattagansett,L,2014,149,2,20.6
Pattagansett,L,2014,150,1,20.8
Pattagansett,L,2014,152,2,21.1
Pattagansett,L,2014,153,2,21.2
Pattagansett,L,2014,154,3,21.4
Pattagansett,L,2014,155,1,21.6
Pattagansett,L,2014,156,4,21.7
Pattagansett,L,2014,159,1,22.3
Pattagansett,L,2014,160,3,22.5
Pattagansett,L,2014,161,2,22.7
Pattagansett,L,2014,162,2,22.9
Pattagansett,L,2014,163,4,23
Pattagansett,L,2014,164,3,23.2
Pattagansett,L,2014,165,5,23.4
Pattagansett,L,2014,166,3,23.6
Pattagansett,L,2014,167,4,23.8
Pattagansett,L,2014,168,4,24
Pattagansett,L,2014,169,3,24.1
Pattagansett,L,2014,170,3,24.3
Pattagansett,L,2014,171,3,24.5
Pattagansett,L,2014,172,1,24.7
Pattagansett,L,2014,173,3,24.8
Pattagansett,L,2014,174,3,25
Pattagansett,L,2014,175,2,25.1
Pattagansett,L,2014,176,3,25.3
Pattagansett,L,2014,177,2,25.4
Pattagansett,L,2014,178,5,25.6
Pattagansett,L,2014,181,2,26
Pattagansett,L,2014,186,1,26.1
Pattagansett,L,2014,187,1,26.1
Pattagansett,L,2014,189,1,26.2
Pattagansett,L,2014,191,2,26.2
Pattagansett,L,2015,123,2,15.4
Pattagansett,L,2015,125,1,16.4
Pattagansett,L,2015,126,1,16.9
Pattagansett,L,2015,127,2,17.3
Pattagansett,L,2015,130,1,18.8
Pattagansett,L,2015,134,2,20.8
Pattagansett,L,2015,135,2,20.9
Pattagansett,L,2015,136,4,21
Pattagansett,L,2015,137,1,21.1
Pattagansett,L,2015,138,1,21.1
Pattagansett,L,2015,139,3,21.2
Pattagansett,L,2015,140,2,21.3
Pattagansett,L,2015,144,3,21.6
Pattagansett,L,2015,145,3,21.7
Pattagansett,L,2015,146,2,21.8
Pattagansett,L,2015,148,1,21.8
Pattagansett,L,2015,149,3,21.8
Pattagansett,L,2015,150,1,21.8
Pattagansett,L,2015,151,2,21.7
Pattagansett,L,2015,153,3,21.7
Pattagansett,L,2015,154,2,21.7
